Attributes / Brands,Push email availability,Email folders synchronization,Instant messaging availability,Speed in accessing email,Software selection,Display size ,Ease of use for navigation,Ease of use for typing ,Voice/call quality,Comfortable to call,User friendliness,Media quality,Camera quality,Compact,Quality of display,Finish,Product image,Brand image,High prestige,Value for money,Average user rating (CNET) ,CNET Editor’s rating
RIM BlackBerry Pearl,8.2,8,7.2,6.4,7,6.5,5.5,5.7,5.6,7.4,6.6,6.1,5.7,6.9,7.5,7.4,5.9,8.6,7.2,6,8,7.3
Palm Treo 700p,7.4,7.1,5.1,6.5,6.8,6.5,6.5,6.2,8,6.9,7.2,7,6.2,5.7,6.3,5.5,5.4,8.5,6.9,5.4,7.5,7.7
Motorola Q,6.4,6.3,5.3,8,6.5,7.4,6.1,7.4,4.8,6.1,7.3,6.9,6.6,6.7,7.3,7.4,4.9,7.2,6.8,4.2,6.2,8
Nokia 9300,6.4,6.4,6.7,6.3,6.3,6.4,4.2,4.5,7.8,4.2,4.1,5.9,0.5,4.5,5.1,6.1,5,6.5,5.5,4.6,7.3,6.3
Sidekick3,4.5,1.2,7.2,6.2,3,7.2,3.6,6.8,6.3,3.1,4,6.4,4.2,3.6,3.8,5.2,4,3,1.2,5.3,6.3,7.3
Sony Ericsson M600i,6,6.2,1.5,8.1,6.5,7.3,6.1,5,8,5.2,6,7.8,1.3,5.1,6.2,5.1,4.1,4.5,4,4,6.4,7.7
